Liévin,PAS DE CALAIS,HAUTS DE FRANCE,122.6081321,278.5795039,264.0450933,276.5728667
Essey-lès-Nancy,MEURTHE ET MOSELLE,GRAND EST,2.006335557,271.4702069,265.4603187,275.2052334
Ortillon,AUBE,GRAND EST,24,210.7618075,259.6849734,231.3390616
Saint-Laurent-du-Var,ALPES MARITIMES,PROVENCE ALPES COTE D'AZUR,22.74187806,217.8036226,211.954672,223.668027
Montjoie-le-Château,DOUBS,BOURGOGNE FRANCHE COMTE,28,214.07739,237.3122331,214.5103495
Varennes-Saint-Honorat,HAUTE LOIRE,AUVERGNE RHONE ALPES,24,225.2289502,209.4610347,211.2634075
Poitiers,VIENNE,NOUVELLE AQUITAINE,341.9115655,201.9100596,155.0491484,207.8038717
Cunel,MEUSE,GRAND EST,13,205.7037326,197.2405579,207.6038679
Saint-Avold,MOSELLE,GRAND EST,2.695025236,212.107027,200.6426986,206.7851951
Savigny-le-Temple,SEINE ET MARNE,ILE DE FRANCE,285.0573611,227.0284196,207.7960171,205.4046895
Orléans,LOIRET,CENTRE VAL DE LOIRE,2509.569733,196.1469456,177.7630675,200.4368327
Bagert,ARIEGE,OCCITANIE,38,192.0863875,236.7119979,199.2240928
Le Havre,SEINE MARITIME,NORMANDIE,21.08122081,189.9290781,177.1849805,198.9349935
Veauce,ALLIER,AUVERGNE RHONE ALPES,37,189.5622998,200.6602539,196.3280822
Vannes,MORBIHAN,BRETAGNE,781.9848858,194.750701,186.5617869,192.2764679
Argut-Dessous,HAUTE GARONNE,OCCITANIE,25,211.3231983,156.8439841,191.4560719
Mont-Saint-Aignan,SEINE MARITIME,NORMANDIE,1866.131563,179.8834176,160.2793432,189.3710844
Gouy-les-Groseillers,OISE,HAUTS DE FRANCE,28,203.8483849,215.9767064,187.9702753
Puisenval,SEINE MARITIME,NORMANDIE,26,177.702779,248.9714318,187.9029495
Aucelon,DROME,AUVERGNE RHONE ALPES,15,186.9130188,172.2958353,187.1453356
Arnayon,DROME,AUVERGNE RHONE ALPES,26,184.0132673,164.7610509,186.3493551
